arousal_listener,valence_listener,who,sentiment,emotional_reaction,interpretations,explorations,intent,s_word_len,l_word_len,arousal_speaker,valence_speaker,speaker_who,speaker_sentiment,dominance_speaker,dominance_listener,mimicry,empathy,speaker_id,speaker_utterance,listener_utterance,arousal_speaker_video,valence_speaker_video,arousal_listener_video,valence_listener_video,mimicry_video_face,mimicry_video_pose,mimicry_video_av,arousal_listener_fused,valence_listener_fused,arousal_speaker_fused,valence_speaker_fused,mimicry_fused,id,rf_t_2,rf_t_3,rf_m_3,rf_m_2,rf_va_3,rf_va_2,rf_vam_3,rf_vam_2,pbc_t_2,pbc_t_3,pbc_m_3,pbc_m_2,pbc_va_3,pbc_va_2,pbc_vam_3,pbc_vam_2,bert_2,bert_3,empathy_binary,influential,influential_l,influential_s,influential_fused,influential_l_fused,influential_s_fused
0.0833333333333333,0.4063333333333332,1,positive,0,0,1,1,34.0,14.0,-0.0981818181818181,0.3218181818181818,0,positive,0.037090909090909,-0.0113333333333333,1.0,0.0,sub_1_conv_1,So once I felt like I really trust my dog when I could just let him off the leash and he would just follow me around. I feel like I could trust him then.,That sounds very interesting. And do you often go for walks with your dog?,0.0953531371920312,-0.1843070894924052,-0.0775980202779322,0.0928731191808044,0,1,0,-0.0293186141945525,0.186911183426563,0.0372926505798763,-0.032469508099229,0,sub_1_conv_1,1,2,2,1,2,1,2,1,1,2,2,1,0,0,2,1,1,2,0,"[('valence_listener', 0.4063333333333332), ('sentiment', 'positive'), ('valence_speaker', 0.3218181818181818), ('arousal_speaker', -0.0981818181818181)]","[('valence_listener', 0.4063333333333332), ('sentiment', 'positive'), ('emotional_reaction', '0'), ('l_word_len', 14.0)]","[('valence_speaker', 0.3218181818181818), ('arousal_speaker', -0.0981818181818181), ('dominance_speaker', 0.037090909090909), ('s_word_len', 34.0)]","[('l_word_len', 14.0), ('valence_listener', 0.186911183426563), ('dominance_listener', -0.0113333333333333), ('sentiment', 'positive')]","[('l_word_len', 14.0), ('valence_listener', 0.186911183426563), ('dominance_listener', -0.0113333333333333), ('sentiment', 'positive')]","[('arousal_speaker', 0.0372926505798763), ('s_word_len', 34.0), ('dominance_speaker', 0.037090909090909), ('valence_speaker', -0.032469508099229)]"
-0.255,0.415,1,neutral,0,0,1,1,30.0,6.0,-0.1546666666666666,0.5970000000000001,2,positive,0.054,0.201,1.0,0.0,sub_1_conv_1,"Yes, he is a really really good dog. He's a good boy and I can trust that he behaves even though we sometimes have like many people going around there",How long have you been together?,0.0459151978325303,-0.1444543221978733,-0.0056072270160755,0.132535681047987,0,1,0,-0.0804250589112528,0.2172749767335909,-0.0142593615172287,0.0779819744614887,0,sub_1_conv_1,0,0,2,1,2,1,2,1,0,0,0,0,0,0,2,1,1,2,0,"[('l_word_len', 6.0), ('emotional_reaction', '0'), ('dominance_speaker', 0.054), ('dominance_listener', 0.201)]","[('l_word_len', 6.0), ('emotional_reaction', '0'), ('dominance_listener', 0.201), ('sentiment', 'neutral')]","[('dominance_speaker', 0.054), ('arousal_speaker', -0.1546666666666666), ('s_word_len', 30.0), ('valence_speaker', 0.5970000000000001)]","[('l_word_len', 6.0), ('emotional_reaction', '0'), ('dominance_speaker', 0.054), ('dominance_listener', 0.201)]","[('l_word_len', 6.0), ('emotional_reaction', '0'), ('dominance_listener', 0.201), ('sentiment', 'neutral')]","[('dominance_speaker', 0.054), ('arousal_speaker', -0.0142593615172287), ('s_word_len', 30.0), ('valence_speaker', 0.0779819744614887)]"
-0.092,0.332,2,neutral,0,0,1,1,38.0,5.0,-0.2202222222222222,0.3773333333333333,0,negative,-0.1282222222222222,-0.01,1.0,0.0,sub_1_conv_2,So once I felt really really sad when my friends just cancelled my birthday dinner that they told me like a week before that that we will have it and then they just cancelled out of the blue.,how can they do that?,-0.0127678092477119,-0.3076085062771302,0.1307602944748889,0.0,1,1,0,0.0639322061324222,0.0996,-0.075004133140065,-0.1021259543939911,1,sub_1_conv_2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,"[('l_word_len', 5.0), ('valence_speaker', 0.3773333333333333), ('emotional_reaction', '0'), ('arousal_speaker', -0.2202222222222222)]","[('l_word_len', 5.0), ('emotional_reaction', '0'), ('valence_listener', 0.332), ('arousal_listener', -0.092)]","[('valence_speaker', 0.3773333333333333), ('arousal_speaker', -0.2202222222222222), ('dominance_speaker', -0.1282222222222222), ('s_word_len', 38.0)]","[('l_word_len', 5.0), ('s_word_len', 38.0), ('emotional_reaction', '0'), ('arousal_speaker', -0.075004133140065)]","[('l_word_len', 5.0), ('emotional_reaction', '0'), ('who', '2'), ('arousal_listener', 0.0639322061324222)]","[('s_word_len', 38.0), ('arousal_speaker', -0.075004133140065), ('valence_speaker', -0.1021259543939911), ('dominance_speaker', -0.1282222222222222)]"
-0.2105,0.5415,1,positive,2,1,0,5,28.0,15.0,-0.0808,-0.0328,0,negative,-0.0948,0.1845,0.0,0.0,sub_1_conv_2,"They said that they were all busy and they had something but I don't know, I think they just made an excuse there, which made me really sad.",I hope that I can be there with you. Maybe can make you feel better.,-0.0157576930310688,-0.3658961589869489,-0.0319225066559194,-0.1319906294822649,0,0,1,-0.0854957546591436,0.0700565593624145,-0.0352703851217481,-0.2659673112908642,0,sub_1_conv_2,1,2,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,0,"[('speaker_sentiment', 'negative'), ('l_word_len', 15.0), ('sentiment', 'positive'), ('s_word_len', 28.0)]","[('l_word_len', 15.0), ('sentiment', 'positive'), ('arousal_listener', -0.2105), ('interpretations', '1')]","[('speaker_sentiment', 'negative'), ('s_word_len', 28.0), ('arousal_speaker', -0.0808), ('dominance_speaker', -0.0948)]","[('speaker_sentiment', 'negative'), ('l_word_len', 15.0), ('sentiment', 'positive'), ('s_word_len', 28.0)]","[('l_word_len', 15.0), ('sentiment', 'positive'), ('arousal_listener', -0.0854957546591436), ('interpretations', '1')]","[('speaker_sentiment', 'negative'), ('s_word_len', 28.0), ('arousal_speaker', -0.0352703851217481), ('dominance_speaker', -0.0948)]"
0.0233333333333333,0.4853333333333333,1,positive,1,0,1,1,29.0,11.0,-0.0749999999999999,0.5357999999999999,0,positive,0.111,0.132,1.0,0.0,sub_1_conv_3,I recently went to the water park and it was like super super fun like I have never gone there and and well now I have and it's great,it's great to hear that who do you go there with?,-0.0204289921707875,0.1127150246961451,-0.0878355103783736,-0.0018439186619785,1,0,0,-0.0544848572648615,0.1443092569366151,-0.0368002945195512,0.2396405172873015,1,sub_1_conv_3,1,2,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,0,"[('valence_speaker', 0.5357999999999999), ('valence_listener', 0.4853333333333333), ('speaker_sentiment', 'positive'), ('sentiment', 'positive')]","[('valence_listener', 0.4853333333333333), ('sentiment', 'positive'), ('l_word_len', 11.0), ('arousal_listener', 0.0233333333333333)]","[('valence_speaker', 0.5357999999999999), ('speaker_sentiment', 'positive'), ('arousal_speaker', -0.0749999999999999), ('dominance_speaker', 0.111)]","[('valence_speaker', 0.2396405172873015), ('valence_listener', 0.1443092569366151), ('speaker_sentiment', 'positive'), ('sentiment', 'positive')]","[('valence_listener', 0.1443092569366151), ('sentiment', 'positive'), ('l_word_len', 11.0), ('arousal_listener', -0.0544848572648615)]","[('valence_speaker', 0.2396405172873015), ('speaker_sentiment', 'positive'), ('arousal_speaker', -0.0368002945195512), ('dominance_speaker', 0.111)]"
-0.009,0.7030000000000001,2,positive,1,0,0,3,20.0,4.0,-0.1154285714285714,0.1365714285714285,0,positive,-0.0411428571428571,-0.0679999999999999,1.0,0.0,sub_1_conv_3,"Oh, I went alone, which sometimes you would think it's like bad, but no, I had a really fun time.",That sounds very good.,-0.0481097641478622,-0.0636170215021946,-0.135139867206961,0.0283660094970699,0,1,0,-0.0972979070448727,0.230756206647949,-0.0683054063320749,-0.0035604864801076,0,sub_1_conv_3,1,2,2,1,2,1,2,1,1,2,2,1,0,0,2,1,0,0,0,"[('l_word_len', 4.0), ('valence_speaker', 0.1365714285714285), ('emotional_reaction', '1'), ('speaker_sentiment', 'positive')]","[('l_word_len', 4.0), ('emotional_reaction', '1'), ('intent', '3'), ('arousal_listener', -0.009)]","[('valence_speaker', 0.1365714285714285), ('speaker_sentiment', 'positive'), ('s_word_len', 20.0), ('arousal_speaker', -0.1154285714285714)]","[('emotional_reaction', '1'), ('l_word_len', 4.0), ('valence_listener', 0.230756206647949), ('dominance_listener', -0.0679999999999999)]","[('emotional_reaction', '1'), ('l_word_len', 4.0), ('valence_listener', 0.230756206647949), ('dominance_listener', -0.0679999999999999)]","[('valence_speaker', -0.0035604864801076), ('s_word_len', 20.0), ('arousal_speaker', -0.0683054063320749), ('dominance_speaker', -0.0411428571428571)]"
0.2555,-0.584,0,negative,2,1,0,6,46.0,9.0,0.1145454545454545,-0.167090909090909,0,negative,-0.0218181818181818,-0.2135,1.0,0.0,sub_1_conv_4,I was recently very afraid because I saw a huge spider just while I was taking a shower. like I was just there and suddenly opened my eyes and there was this huge spider and it moved so fast oh it was it was very scary,so scary I'm also afraid of spider a lot,0.03501225724686,0.0557512125538773,-0.1833285133012418,0.0803480309453334,1,0,0,-0.0516799593108692,-0.1189563783382666,0.0588722164364383,-0.0111014239395586,1,sub_1_conv_4,1,2,2,1,2,1,2,1,1,2,2,1,2,1,2,1,0,0,0,"[('s_word_len', 46.0), ('interpretations', '1'), ('emotional_reaction', '2'), ('dominance_listener', -0.2135)]","[('interpretations', '1'), ('emotional_reaction', '2'), ('dominance_listener', -0.2135), ('sentiment', 'negative')]","[('s_word_len', 46.0), ('dominance_speaker', -0.0218181818181818), ('valence_speaker', -0.167090909090909), ('arousal_speaker', 0.1145454545454545)]","[('s_word_len', 46.0), ('interpretations', '1'), ('emotional_reaction', '2'), ('dominance_listener', -0.2135)]","[('interpretations', '1'), ('emotional_reaction', '2'), ('dominance_listener', -0.2135), ('sentiment', 'negative')]","[('s_word_len', 46.0), ('dominance_speaker', -0.0218181818181818), ('valence_speaker', -0.0111014239395586), ('arousal_speaker', 0.0588722164364383)]"
0.2339999999999999,-0.0652,0,negative,0,0,0,9,18.0,10.0,0.141,-0.1713333333333333,2,negative,-0.0479999999999999,0.1731999999999999,1.0,0.0,sub_1_conv_4,yeah they're like very nasty and if they like bite you I heard some can actually kill you,I will immediately run away if I saw a spider,-0.031516596035006,0.1497962551826392,-0.1001448493950638,-0.1047610714209139,0,1,0,9.860542345535572e-05,-0.0928927499946397,0.0202383827754958,0.0534573786278474,0,sub_1_conv_4,1,2,2,1,0,0,0,0,1,1,1,1,0,0,2,1,1,1,0,"[('l_word_len', 10.0), ('emotional_reaction', '0'), ('s_word_len', 18.0), ('dominance_listener', 0.1731999999999999)]","[('l_word_len', 10.0), ('emotional_reaction', '0'), ('dominance_listener', 0.1731999999999999), ('valence_listener', -0.0652)]","[('s_word_len', 18.0), ('dominance_speaker', -0.0479999999999999), ('valence_speaker', -0.1713333333333333), ('speaker_sentiment', 'negative')]","[('l_word_len', 10.0), ('arousal_listener', 9.860542345535572e-05), ('valence_listener', -0.0928927499946397), ('valence_speaker', 0.0534573786278474)]","[('l_word_len', 10.0), ('arousal_listener', 9.860542345535572e-05), ('valence_listener', -0.0928927499946397), ('dominance_listener', 0.1731999999999999)]","[('valence_speaker', 0.0534573786278474), ('arousal_speaker', 0.0202383827754958), ('s_word_len', 18.0), ('dominance_speaker', -0.0479999999999999)]"
-0.186,0.3272,2,positive,0,1,0,5,53.0,12.0,-0.0735714285714285,0.3967142857142857,0,positive,0.047,-0.0247999999999999,1.0,0.0,sub_1_conv_5,"So, recently I lost my wallet and I didn't like expect to see it again. So it was very surprising that an old man contacted me that he found it on the street and he actually gave it to me. that is pretty impressive. I feel like I gained some faith in humanity.",That's really common in Japan. People will find it and help you.,0.0140513769217712,-0.1794667741404879,-0.2025563199422773,0.0806934942013941,0,0,0,-0.1975894239595941,0.1546454459409759,-0.0122354647261887,-0.0066124561840557,0,sub_1_conv_5,1,2,2,1,2,1,2,1,0,0,0,0,2,1,2,1,1,2,0,"[('l_word_len', 12.0), ('dominance_listener', -0.0247999999999999), ('sentiment', 'positive'), ('valence_listener', 0.3272)]","[('l_word_len', 12.0), ('dominance_listener', -0.0247999999999999), ('sentiment', 'positive'), ('valence_listener', 0.3272)]","[('dominance_speaker', 0.047), ('arousal_speaker', -0.0735714285714285), ('valence_speaker', 0.3967142857142857), ('s_word_len', 53.0)]","[('sentiment', 'positive'), ('dominance_listener', -0.0247999999999999), ('emotional_reaction', '0'), ('l_word_len', 12.0)]","[('sentiment', 'positive'), ('dominance_listener', -0.0247999999999999), ('emotional_reaction', '0'), ('l_word_len', 12.0)]","[('arousal_speaker', -0.0122354647261887), ('s_word_len', 53.0), ('dominance_speaker', 0.047), ('speaker_sentiment', 'positive')]"
0.33,0.916,2,positive,1,0,0,3,21.0,2.0,-0.1939999999999999,0.2906666666666667,2,positive,0.1016666666666666,0.62,1.0,0.0,sub_1_conv_5,"Yeah, that is amazing. That is something that I don't expect in other parts of the world, right? That is... Wow.",That's great.,0.1364231953140405,0.1039089342806389,0.0302504568511057,0.1118363771504241,0,0,1,0.120175319795774,0.3530854640052969,0.0372962367198283,0.1599362539964472,0,sub_1_conv_5,1,2,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,2,0,"[('emotional_reaction', '1'), ('l_word_len', 2.0), ('intent', '3'), ('s_word_len', 21.0)]","[('emotional_reaction', '1'), ('l_word_len', 2.0), ('intent', '3'), ('valence_listener', 0.916)]","[('s_word_len', 21.0), ('speaker_sentiment', 'positive'), ('arousal_speaker', -0.1939999999999999), ('valence_speaker', 0.2906666666666667)]","[('valence_speaker', 0.1599362539964472), ('l_word_len', 2.0), ('emotional_reaction', '1'), ('arousal_speaker', 0.0372962367198283)]","[('l_word_len', 2.0), ('emotional_reaction', '1'), ('valence_listener', 0.3530854640052969), ('dominance_listener', 0.62)]","[('valence_speaker', 0.1599362539964472), ('arousal_speaker', 0.0372962367198283), ('dominance_speaker', 0.1016666666666666), ('s_word_len', 21.0)]"
