id,speaker_utterance,listener_utterance,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,mimicry,empathy,prediction
ND_1,"What is your favorite subject?
",Nature and technology.,0.027175857,0.7967104,0.17611383,0.067283824,0.66696906,0.26574707,0,0.487,-0.066,0.249,0.633,-0.326,0.46799999999999997,5,3,0.11204775422811508,0.8438878655433655,0.0003836361865978688,0.0013254496734589338,0.0006186976097524166,7.13846311555244e-05,0.004756201524287462,0.0029797274619340897,0.033929243683815,1,1,1
ND_1,What are your ages?,My age is 12.,0.09251043,0.8614931,0.045996424,0.106203064,0.80822474,0.085572295,0,0.122,-0.548,-0.004,0.122,-0.548,-0.004,4,4,0.001668208627961576,0.9652830362319946,6.651935836998746e-05,0.0005488167516887188,0.00043274348718114197,9.983282507164404e-05,0.002623369451612234,0.006147431209683418,0.02312999591231346,1,1,1
ND_1,What grade are you?,6th grade. But we have a different grading school. It starts from zero.,0.1498888,0.76708597,0.083025254,0.29569116,0.65271217,0.051596615,0,0.396,-0.28,0.2,0.37949999999999995,-0.1965,0.14750000000000002,4,13,7.468953117495403e-05,3.575129449018277e-05,1.9466300727799535e-05,2.4009767003008164e-05,5.96069403400179e-05,0.000236383086303249,0.00014566612662747502,2.720071643125266e-05,0.9993773102760315,1,1,1
ND_1,We also start with zero,How is your school?,0.25784075,0.68944514,0.05271416,0.10932353,0.81912196,0.07155448,0,0.368,-0.14,0.178,0.53,-0.154,0.266,5,4,4.5481774577638134e-05,0.00011138345143990591,2.2505966626340523e-05,2.9565144359366968e-05,0.00010418330202810466,0.00016508380940649658,0.9993522763252258,0.00012834763037972152,4.122390964766964e-05,1,2,1
ND_1,It is wonderful.,"To be honest, I hate my school. I don’t like going to school.",0.0033012794,0.023627896,0.9730708,0.9701343,0.024669899,0.0051958086,0,0.942,0.552,0.66,0.2922857142857143,-0.15742857142857142,0.1851428571428571,3,13,0.004211103543639183,0.8533229231834412,0.00019960731151513755,0.0003479589940980077,0.00020995554223190993,0.00023659146972931921,0.00032070226734504104,0.0003085962380282581,0.14084255695343018,0,1,1
ND_1,I like school.,"I like school, but I also don’t? I don’t know",0.008798335,0.058357775,0.93284386,0.5110761,0.40532926,0.08359468,0,0.484,-0.22399999999999998,0.07900000000000001,0.4475,-0.2045,0.2425,3,10,0.00039741990622133017,0.00018424890004098415,6.915266567375511e-05,3.0347842766786925e-05,0.0026592561043798923,0.00028754619415849447,0.9848928451538086,0.00043845936306752264,0.011040805839002132,1,1,3
DN_1,I took this picture of my bike because I go to school on it. You can also see my house in the background.,Do you go to school without a school uniform?,0.027146382,0.8024737,0.17037982,0.22704695,0.750803,0.022150058,0,0.24500000000000005,-0.30175,-0.08274999999999999,0.30500000000000005,-0.234,0.1825,23,9,9.579782636137679e-05,3.101744005107321e-05,6.657983612967655e-05,2.638682235556189e-05,0.00015105503553058952,0.00019955796597059816,0.9988786578178406,0.0004267223412171006,0.00012415711535140872,1,1,1
DN_1,Yeah because I go to a public school.,I see. Do you guys do the piano dance?,0.23193547,0.7002938,0.06777076,0.032882933,0.9060142,0.061102796,0,0.24466666666666667,-0.084,0.16066666666666668,0.40800000000000003,-0.0905,-0.07650000000000001,8,9,5.648446312989108e-05,4.409859684528783e-05,3.2579155231360346e-05,4.6107561502140015e-05,0.0004201443516649306,0.0003023918834514916,0.9989436268806458,7.836715667508543e-05,7.609686144860461e-05,1,1,1
DN_1,I used to play the piano. But now I play the violin.,"No, I’m talking about dancing.",0.100821815,0.8016162,0.09756198,0.11101676,0.7788939,0.11008938,0,0.40199999999999997,0.03000000000000001,-0.26799999999999996,0.77,0.736,-0.112,12,5,0.0016341812442988157,0.9634904861450195,0.00019004421483259648,7.46875157346949e-05,0.00020152634533587843,0.0001183551357826218,0.001541723613627255,0.016480594873428345,0.01626840978860855,1,1,1
DN_1,"oh no, I do ballet.","I see.
",0.37198997,0.56935495,0.058655024,0.24548732,0.61040187,0.14411083,0,0.312,-0.04,-0.284,0.27,-0.462,-0.376,5,2,0.0003537627053447068,0.9981038570404053,0.00016505458916071802,0.0005474224453791976,0.00010549147555138916,3.2623651350149885e-05,5.798443817184307e-05,0.0005184616893529892,0.00011532055214047432,0,1,1
DN_1,How do you go to school? ,I live in the school.,0.21420579,0.7522727,0.033521514,0.13108887,0.7999617,0.068949424,0,0.2966666666666667,-0.058666666666666666,0.07533333333333334,0.645,0.09599999999999999,0.309,6,5,0.48740461468696594,0.21010766923427582,0.018389103934168816,0.0005094526568427682,0.0002434665075270459,0.0005177940474823117,0.0006588470423594117,0.27763456106185913,0.004534429404884577,1,1,1
ND_2,Are you guys not having exams?,"Oh no, not at the moment. Well, she might but I’m not. What is the name of you guys’ school?",0.2712191,0.6988755,0.029905457,0.3804303,0.5541296,0.06544008,0,0.062,0.03,0.123,0.2625,-0.23750000000000002,0.0515,6,20,0.00018882303265854716,6.795238004997373e-05,3.83382139261812e-05,5.198946746531874e-05,0.0034192530438303947,0.0010817600414156914,0.9909594058990479,0.0002248530654469505,0.003967602271586657,0,2,1
ND_2, primary school. And yours?,"We go to Bember and she goes to South
",0.14484027,0.8101847,0.044975,0.0409575,0.88373435,0.07530812,0,0.327,-0.187,0.178,0.05466666666666667,-0.2353333333333333,-0.122,4,9,0.0003215887409169227,0.007592516951262951,4.6219367504818365e-05,2.868794217647519e-05,8.114049705909565e-05,0.00010360168380429968,9.867797052720562e-05,0.0008388456190004945,0.9908887147903442,0,1,1
